additional_rate,city_rate,county_rate,state_rate,total_rate,zip_code
0.020000,0.040000,0.000000,0.040000,0.100000,35004
0.020000,0.040000,0.000000,0.040000,0.100000,35173
0.000000,0.030000,0.030000,0.040000,0.100000,35444
0.000000,0.045000,0.010000,0.040000,0.095000,35634
0.000000,0.040000,0.010000,0.040000,0.090000,35962
0.000000,0.035000,0.025000,0.040000,0.100000,36112
0.000000,0.035000,0.025000,0.040000,0.100000,36420
0.000000,0.000000,0.010000,0.040000,0.050000,36583
0.000000,0.040000,0.010000,0.040000,0.090000,36849
0.000000,0.040000,0.000000,0.000000,0.040000,99585
0.000000,0.000000,0.000000,0.000000,0.000000,99704
0.000000,0.040000,0.025000,0.000000,0.065000,99901
0.000000,0.020000,0.011000,0.056000,0.087000,85122
0.000000,0.018000,0.007000,0.056000,0.081000,85280
0.000000,0.030000,0.007000,0.056000,0.093000,85395
0.005000,0.026000,0.000000,0.056000,0.087000,85722
0.000000,0.028300,0.007500,0.056000,0.091800,86303
0.000000,0.010000,0.032500,0.065000,0.107500,71652
0.000000,0.015000,0.015000,0.065000,0.095000,71913
0.000000,0.010000,0.017500,0.065000,0.092500,72068
0.000000,0.020000,0.010000,0.065000,0.095000,72211
0.000000,0.000000,0.010000,0.065000,0.075000,72427
0.000000,0.000000,0.030000,0.065000,0.095000,72578
0.000000,0.022500,0.010000,0.065000,0.097500,72758
0.032500,0.000000,0.002500,0.060000,0.095000,90007
0.032500,0.000000,0.002500,0.060000,0.095000,90213
0.032500,0.000000,0.002500,0.060000,0.095000,90637
0.032500,0.007500,0.002500,0.060000,0.102500,91077
0.032500,0.000000,0.002500,0.060000,0.095000,91372
0.032500,0.005000,0.002500,0.060000,0.100000,91747
0.015000,0.000000,0.002500,0.060000,0.077500,92023
0.015000,0.000000,0.002500,0.060000,0.077500,92158
0.015000,0.000000,0.002500,0.060000,0.077500,92308
0.015000,0.010000,0.002500,0.060000,0.087500,92684
0.010000,0.000000,0.002500,0.060000,0.072500,93012
0.015000,0.015000,0.002500,0.060000,0.092500,93258
0.015000,0.000000,0.002500,0.060000,0.077500,93464
0.017250,0.000000,0.002500,0.060000,0.079750,93647
0.015000,0.015000,0.002500,0.060000,0.092500,93933
0.023750,0.000000,0.002500,0.060000,0.086250,94145
0.025000,0.000000,0.002500,0.060000,0.087500,94507
0.040000,0.000000,0.002500,0.060000,0.102500,94613
0.027500,0.000000,0.002500,0.060000,0.090000,95006
0.028750,0.002500,0.002500,0.060000,0.093750,95159
0.015000,0.005000,0.002500,0.060000,0.082500,95340
0.010000,0.000000,0.002500,0.060000,0.072500,95464
0.015000,0.000000,0.002500,0.060000,0.077500,95628
0.015000,0.010000,0.002500,0.060000,0.087500,95815
0.012500,0.000000,0.002500,0.060000,0.075000,95975
0.010000,0.000000,0.002500,0.060000,0.072500,96106
0.011000,0.048099,0.000000,0.029000,0.088100,80111
0.011000,0.048099,0.000000,0.029000,0.088100,80293
0.000000,0.038500,0.008000,0.029000,0.075500,80525
0.005000,0.000000,0.010000,0.029000,0.044000,80814
0.000000,0.030000,0.015000,0.029000,0.074000,81020
0.000000,0.000000,0.050000,0.029000,0.079000,81235
0.008000,0.035000,0.010000,0.029000,0.082000,81647
0.000000,0.000000,0.000000,0.063500,0.063500,06115
0.000000,0.000000,0.000000,0.063500,0.063500,06370
0.000000,0.000000,0.000000,0.063500,0.063500,06516
0.000000,0.000000,0.000000,0.000000,0.000000,19897
0.000000,0.000000,0.010000,0.060000,0.070000,32094
0.000000,0.000000,0.015000,0.060000,0.075000,32228
0.000000,0.000000,0.010000,0.060000,0.070000,32417
0.000000,0.000000,0.005000,0.060000,0.065000,32759
0.000000,0.000000,0.010000,0.060000,0.070000,32907
0.000000,0.000000,0.010000,0.060000,0.070000,33067
0.000000,0.000000,0.010000,0.060000,0.070000,33193
0.000000,0.000000,0.010000,0.060000,0.070000,33425
0.000000,0.000000,0.015000,0.060000,0.075000,33571
0.000000,0.000000,0.010000,0.060000,0.070000,33733
0.000000,0.000000,0.010000,0.060000,0.070000,33881
0.000000,0.000000,0.010000,0.060000,0.070000,34140
0.000000,0.000000,0.000000,0.060000,0.060000,34465
0.000000,0.000000,0.015000,0.060000,0.075000,34772
0.000000,0.000000,0.020000,0.040000,0.060000,30067
0.000000,0.000000,0.030000,0.040000,0.070000,30178
0.004000,0.015000,0.030000,0.040000,0.089000,30327
0.000000,0.000000,0.040000,0.040000,0.080000,30467
0.010000,0.000000,0.030000,0.040000,0.080000,30631
0.010000,0.000000,0.030000,0.040000,0.080000,30912
0.004000,0.015000,0.030000,0.040000,0.089000,31107
0.000000,0.000000,0.020000,0.040000,0.060000,31521
0.000000,0.000000,0.040000,0.040000,0.080000,31749
0.010000,0.000000,0.030000,0.040000,0.080000,39846
0.000000,0.000000,0.005000,0.040000,0.045000,96796
0.000000,0.000000,0.000000,0.060000,0.060000,83271
0.000000,0.000000,0.000000,0.060000,0.060000,83525
0.000000,0.000000,0.000000,0.060000,0.060000,83722
0.020000,0.007500,0.017500,0.062500,0.107500,60025
0.007500,0.015000,0.000000,0.062500,0.085000,60140
0.010000,0.005000,0.017500,0.062500,0.095000,60438
0.007500,0.010000,0.000000,0.062500,0.080000,60559
0.010000,0.012500,0.017500,0.062500,0.102500,60697
0.000000,0.000000,0.010000,0.062500,0.072500,61048
0.000000,0.010000,0.002500,0.062500,0.075000,61301
0.000000,0.000000,0.017500,0.062500,0.080000,61450
0.000000,0.017500,0.010000,0.062500,0.090000,61633
0.000000,0.000000,0.012500,0.062500,0.075000,61840
0.000000,0.000000,0.017500,0.062500,0.080000,62045
0.021000,0.005000,0.000000,0.062500,0.088500,62265
0.000000,0.000000,0.010000,0.062500,0.072500,62434
0.000000,0.000000,0.010000,0.062500,0.072500,62617
0.000000,0.000000,0.007500,0.062500,0.070000,62809
0.000000,0.022500,0.010000,0.062500,0.095000,62918
0.000000,0.000000,0.000000,0.070000,0.070000,46057
0.000000,0.000000,0.000000,0.070000,0.070000,46219
0.000000,0.000000,0.000000,0.070000,0.070000,46393
0.000000,0.000000,0.000000,0.070000,0.070000,46737
0.000000,0.000000,0.000000,0.070000,0.070000,46914
0.000000,0.000000,0.000000,0.070000,0.070000,47111
0.000000,0.000000,0.000000,0.070000,0.070000,47327
0.000000,0.000000,0.000000,0.070000,0.070000,47714
0.000000,0.000000,0.000000,0.070000,0.070000,47926
0.000000,0.000000,0.010000,0.060000,0.070000,50050
0.000000,0.000000,0.010000,0.060000,0.070000,50208
0.000000,0.000000,0.010000,0.060000,0.070000,50359
0.000000,0.000000,0.010000,0.060000,0.070000,50536
0.000000,0.000000,0.010000,0.060000,0.070000,50659
0.000000,0.000000,0.010000,0.060000,0.070000,51044
0.000000,0.000000,0.010000,0.060000,0.070000,51465
0.000000,0.000000,0.010000,0.060000,0.070000,52045
0.000000,0.000000,0.000000,0.060000,0.060000,52245
0.000000,0.000000,0.010000,0.060000,0.070000,52555
0.000000,0.000000,0.010000,0.060000,0.070000,52760
0.000000,0.016250,0.010000,0.065000,0.091250,66105
0.000000,0.010000,0.010000,0.065000,0.085000,66521
0.000000,0.000000,0.012500,0.065000,0.077500,66761
0.000000,0.000000,0.010000,0.065000,0.075000,67018
0.020000,0.000000,0.010000,0.065000,0.095000,67213
0.000000,0.000000,0.015000,0.065000,0.080000,67484
0.000000,0.025000,0.005000,0.065000,0.095000,67669
0.000000,0.000000,0.000000,0.060000,0.060000,40032
0.000000,0.000000,0.000000,0.060000,0.060000,40241
0.000000,0.000000,0.000000,0.060000,0.060000,40447
0.000000,0.000000,0.000000,0.060000,0.060000,40824
0.000000,0.000000,0.000000,0.060000,0.060000,41054
0.000000,0.000000,0.000000,0.060000,0.060000,41339
0.000000,0.000000,0.000000,0.060000,0.060000,41660
0.000000,0.000000,0.000000,0.060000,0.060000,42048
0.000000,0.000000,0.000000,0.060000,0.060000,42302
0.000000,0.000000,0.000000,0.060000,0.060000,42634
0.000000,0.000000,0.050000,0.044500,0.094500,70085
0.051500,0.000000,0.000000,0.044500,0.096000,70375
0.000000,0.055000,0.000000,0.044500,0.099500,70546
0.045000,0.000000,0.000000,0.044500,0.089500,70734
0.000000,0.055000,0.000000,0.044500,0.099500,71021
0.060000,0.000000,0.000000,0.044500,0.104500,71221
0.000000,0.060000,0.000000,0.044500,0.104500,71375
0.000000,0.000000,0.000000,0.055000,0.055000,04020
0.000000,0.000000,0.000000,0.055000,0.055000,04243
0.000000,0.000000,0.000000,0.055000,0.055000,04457
0.000000,0.000000,0.000000,0.055000,0.055000,04660
0.000000,0.000000,0.000000,0.055000,0.055000,04923
0.000000,0.000000,0.000000,0.060000,0.060000,20656
0.000000,0.000000,0.000000,0.060000,0.060000,20788
0.000000,0.000000,0.000000,0.060000,0.060000,21030
0.000000,0.000000,0.000000,0.060000,0.060000,21224
0.000000,0.000000,0.000000,0.060000,0.060000,21629
0.000000,0.000000,0.000000,0.060000,0.060000,21774
0.000000,0.000000,0.000000,0.062500,0.062500,01029
0.000000,0.000000,0.000000,0.062500,0.062500,01255
0.000000,0.000000,0.000000,0.062500,0.062500,01540
0.000000,0.000000,0.000000,0.062500,0.062500,01850
0.000000,0.000000,0.000000,0.062500,0.062500,02109
0.000000,0.000000,0.000000,0.062500,0.062500,02337
0.000000,0.000000,0.000000,0.062500,0.062500,02632
0.000000,0.000000,0.000000,0.060000,0.060000,48026
0.000000,0.000000,0.000000,0.060000,0.060000,48143
0.000000,0.000000,0.000000,0.060000,0.060000,48279
0.000000,0.000000,0.000000,0.060000,0.060000,48442
0.000000,0.000000,0.000000,0.060000,0.060000,48656
0.000000,0.000000,0.000000,0.060000,0.060000,48838
0.000000,0.000000,0.000000,0.060000,0.060000,49020
0.000000,0.000000,0.000000,0.060000,0.060000,49221
0.000000,0.000000,0.000000,0.060000,0.060000,49348
0.000000,0.000000,0.000000,0.060000,0.060000,49617
0.000000,0.000000,0.000000,0.060000,0.060000,49748
0.000000,0.000000,0.000000,0.060000,0.060000,49887
0.005000,0.000000,0.000000,0.068750,0.073750,55057
0.005000,0.000000,0.000000,0.068750,0.073750,55322
0.005000,0.000000,0.001500,0.068750,0.075250,55425
0.005000,0.000000,0.010000,0.068750,0.083750,55605
0.005000,0.007500,0.000000,0.068750,0.081250,55902
0.005000,0.000000,0.000000,0.068750,0.073750,56035
0.000000,0.000000,0.000000,0.068750,0.068750,56171
0.005000,0.000000,0.000000,0.068750,0.073750,56315
0.005000,0.000000,0.000000,0.068750,0.073750,56466
0.000000,0.000000,0.000000,0.068750,0.068750,56631
0.000000,0.000000,0.000000,0.070000,0.070000,38623
0.000000,0.000000,0.000000,0.070000,0.070000,38820
0.000000,0.000000,0.000000,0.070000,0.070000,39047
0.000000,0.010000,0.000000,0.070000,0.080000,39209
0.000000,0.000000,0.000000,0.070000,0.070000,39465
0.000000,0.000000,0.000000,0.070000,0.070000,39746
0.010000,0.054540,0.000000,0.042250,0.106790,63116
0.000000,0.017500,0.022500,0.042250,0.082250,63384
0.015000,0.025000,0.016250,0.042250,0.098500,63640
0.000000,0.000000,0.016875,0.042250,0.059125,63875
0.011250,0.030000,0.012500,0.042250,0.096000,64086
0.000000,0.000000,0.020000,0.042250,0.062250,64433
0.005000,0.000000,0.017500,0.042250,0.064750,64659
0.005000,0.000000,0.020000,0.042250,0.067250,64866
0.010000,0.011250,0.026250,0.042250,0.089750,65248
0.000000,0.000000,0.015000,0.042250,0.057250,65546
0.000000,0.000000,0.020000,0.042250,0.062250,65702
0.000000,0.000000,0.000000,0.000000,0.000000,59010
0.000000,0.000000,0.000000,0.000000,0.000000,59242
0.000000,0.000000,0.000000,0.000000,0.000000,59465
0.000000,0.000000,0.000000,0.000000,0.000000,59749
0.000000,0.015000,0.000000,0.055000,0.070000,68003
0.000000,0.015000,0.000000,0.055000,0.070000,68176
0.000000,0.000000,0.000000,0.055000,0.055000,68428
0.000000,0.015000,0.000000,0.055000,0.070000,68662
0.000000,0.000000,0.000000,0.055000,0.055000,68827
0.000000,0.015000,0.000000,0.055000,0.070000,68978
0.000000,0.000000,0.000000,0.055000,0.055000,69345
0.000000,0.000000,0.037750,0.046000,0.083750,89119
0.000000,0.000000,0.036650,0.046000,0.082650,89434
0.000000,0.000000,0.000000,0.000000,0.000000,03063
0.000000,0.000000,0.000000,0.000000,0.000000,03444
0.000000,0.000000,0.000000,0.000000,0.000000,03824
0.000000,0.000000,0.000000,0.066250,0.066250,07046
0.000000,0.000000,0.000000,0.066250,0.066250,07420
0.000000,0.000000,0.000000,0.066250,0.066250,07710
0.000000,0.000000,0.000000,0.066250,0.066250,07901
0.000000,0.000000,0.000000,0.066250,0.066250,08072
0.000000,0.000000,0.000000,0.066250,0.066250,08344
0.000000,0.000000,0.000000,0.066250,0.066250,08740
0.000000,0.000000,0.017500,0.050000,0.067500,87012
0.000000,0.000000,0.016250,0.050000,0.066250,87312
0.000000,0.000000,0.017500,0.050000,0.067500,87581
0.000000,0.000000,0.014375,0.050000,0.064375,88051
0.000000,0.000000,0.009583,0.050000,0.059583,88414
0.003750,0.045000,0.000000,0.040000,0.088750,10116
0.003750,0.045000,0.000000,0.040000,0.088750,10451
0.003750,0.040000,0.000000,0.040000,0.083750,10605
0.003750,0.045000,0.000000,0.040000,0.088750,11040
0.003750,0.045000,0.000000,0.040000,0.088750,11380
0.003750,0.000000,0.042500,0.040000,0.086250,11706
0.003750,0.000000,0.042500,0.040000,0.086250,11941
0.000000,0.000000,0.040000,0.040000,0.080000,12089
0.000000,0.000000,0.040000,0.040000,0.080000,12229
0.000000,0.000000,0.040000,0.040000,0.080000,12471
0.003750,0.000000,0.037500,0.040000,0.081250,12603
0.000000,0.000000,0.030000,0.040000,0.070000,12850
0.000000,0.000000,0.040000,0.040000,0.080000,12996
0.000000,0.000000,0.040000,0.040000,0.080000,13154
0.000000,0.000000,0.042500,0.040000,0.082500,13406
0.000000,0.000000,0.040000,0.040000,0.080000,13635
0.000000,0.000000,0.040000,0.040000,0.080000,13790
0.000000,0.000000,0.040000,0.040000,0.080000,14062
0.000000,0.000000,0.047500,0.040000,0.087500,14269
0.000000,0.000000,0.040000,0.040000,0.080000,14546
0.000000,0.000000,0.040000,0.040000,0.080000,14736
0.000000,0.000000,0.040000,0.040000,0.080000,14874
0.000000,0.000000,0.022500,0.047500,0.070000,27208
0.000000,0.000000,0.020000,0.047500,0.067500,27406
0.000000,0.000000,0.020000,0.047500,0.067500,27593
0.000000,0.000000,0.022500,0.047500,0.070000,27836
0.000000,0.000000,0.020000,0.047500,0.067500,27962
0.000000,0.000000,0.022500,0.047500,0.070000,28127
0.005000,0.000000,0.020000,0.047500,0.072500,28296
0.000000,0.000000,0.022500,0.047500,0.070000,28412
0.000000,0.000000,0.020000,0.047500,0.067500,28563
0.000000,0.000000,0.022500,0.047500,0.070000,28684
0.000000,0.000000,0.022500,0.047500,0.070000,28801
0.000000,0.010000,0.000000,0.050000,0.060000,58212
0.000000,0.000000,0.000000,0.050000,0.050000,58384
0.000000,0.000000,0.005000,0.050000,0.055000,58566
0.000000,0.020000,0.005000,0.050000,0.075000,58785
0.000000,0.000000,0.015000,0.057500,0.072500,43105
0.000000,0.000000,0.015000,0.057500,0.072500,43311
0.000000,0.000000,0.015000,0.057500,0.072500,43523
0.000000,0.000000,0.015000,0.057500,0.072500,43747
0.000000,0.000000,0.015000,0.057500,0.072500,43970
0.000000,0.000000,0.022500,0.057500,0.080000,44123
0.000000,0.000000,0.010000,0.057500,0.067500,44309
0.000000,0.000000,0.010000,0.057500,0.067500,44608
0.000000,0.000000,0.015000,0.057500,0.072500,44811
0.000000,0.000000,0.015000,0.057500,0.072500,45064
0.000000,0.000000,0.020499,0.057500,0.078000,45242
0.000000,0.000000,0.017500,0.057500,0.075000,45378
0.000000,0.000000,0.015000,0.057500,0.072500,45656
0.000000,0.000000,0.010000,0.057500,0.067500,45816
0.000000,0.030000,0.007500,0.045000,0.082500,73028
0.000000,0.046000,0.000000,0.045000,0.091000,73140
0.000000,0.040000,0.003750,0.045000,0.088750,73538
0.000000,0.035000,0.012500,0.045000,0.092500,73750
0.000000,0.030000,0.018330,0.045000,0.093330,74053
0.000000,0.040000,0.014000,0.045000,0.099000,74347
0.000000,0.030000,0.015000,0.045000,0.090000,74561
0.000000,0.040000,0.014950,0.045000,0.099950,74857
0.000000,0.000000,0.000000,0.000000,0.000000,97057
0.000000,0.000000,0.000000,0.000000,0.000000,97251
0.000000,0.000000,0.000000,0.000000,0.000000,97396
0.000000,0.000000,0.000000,0.000000,0.000000,97527
0.000000,0.000000,0.000000,0.000000,0.000000,97845
0.000000,0.000000,0.000000,0.060000,0.060000,15074
0.000000,0.000000,0.010000,0.060000,0.070000,15259
0.000000,0.000000,0.000000,0.060000,0.060000,15428
0.000000,0.000000,0.000000,0.060000,0.060000,15610
0.000000,0.000000,0.000000,0.060000,0.060000,15738
0.000000,0.000000,0.000000,0.060000,0.060000,15946
0.000000,0.000000,0.000000,0.060000,0.060000,16160
0.000000,0.000000,0.000000,0.060000,0.060000,16404
0.000000,0.000000,0.000000,0.060000,0.060000,16659
0.000000,0.000000,0.000000,0.060000,0.060000,16863
0.000000,0.000000,0.000000,0.060000,0.060000,17051
0.000000,0.000000,0.000000,0.060000,0.060000,17244
0.000000,0.000000,0.000000,0.060000,0.060000,17509
0.000000,0.000000,0.000000,0.060000,0.060000,17768
0.000000,0.000000,0.000000,0.060000,0.060000,17960
0.000000,0.000000,0.000000,0.060000,0.060000,18210
0.000000,0.000000,0.000000,0.060000,0.060000,18436
0.000000,0.000000,0.000000,0.060000,0.060000,18708
0.000000,0.000000,0.000000,0.060000,0.060000,18971
0.000000,0.000000,0.020000,0.060000,0.080000,19107
0.000000,0.000000,0.000000,0.060000,0.060000,19348
0.000000,0.000000,0.000000,0.060000,0.060000,19504
0.000000,0.000000,0.000000,0.070000,0.070000,02871
0.010000,0.000000,0.010000,0.060000,0.080000,29102
0.010000,0.010000,0.000000,0.060000,0.080000,29325
0.010000,0.000000,0.010000,0.060000,0.080000,29475
0.010000,0.000000,0.000000,0.060000,0.070000,29622
0.010000,0.000000,0.010000,0.060000,0.080000,29744
0.000000,0.020000,0.000000,0.045000,0.065000,57020
0.000000,0.020000,0.000000,0.045000,0.065000,57239
0.000000,0.020000,0.000000,0.045000,0.065000,57422
0.045000,0.000000,0.000000,0.000000,0.045000,57634
0.000000,0.000000,0.027500,0.070000,0.097500,37033
0.000000,0.000000,0.027500,0.070000,0.097500,37178
0.000000,0.000000,0.027500,0.070000,0.097500,37347
0.000000,0.000000,0.025000,0.070000,0.095000,37686
0.000000,0.000000,0.027500,0.070000,0.097500,37861
0.000000,0.005000,0.022500,0.070000,0.097500,38055
0.000000,0.000000,0.027500,0.070000,0.097500,38235
0.000000,0.000000,0.025000,0.070000,0.095000,38455
0.007500,0.012500,0.000000,0.062500,0.082500,75029
0.002500,0.017500,0.000000,0.062500,0.082500,75152
0.010000,0.010000,0.000000,0.062500,0.082500,75320
0.000000,0.015000,0.005000,0.062500,0.082500,75462
0.000000,0.020000,0.000000,0.062500,0.082500,75672
0.000000,0.015000,0.005000,0.062500,0.082500,75925
0.020000,0.000000,0.000000,0.062500,0.082500,76077
0.010000,0.010000,0.000000,0.062500,0.082500,76247
0.000000,0.000000,0.005000,0.062500,0.067500,76481
0.005000,0.010000,0.005000,0.062500,0.082500,76660
0.000000,0.015000,0.005000,0.062500,0.082500,76906
0.010000,0.010000,0.000000,0.062500,0.082500,77079
0.010000,0.010000,0.000000,0.062500,0.082500,77287
0.000000,0.015000,0.005000,0.062500,0.082500,77422
0.010000,0.010000,0.000000,0.062500,0.082500,77545
0.000000,0.015000,0.005000,0.062500,0.082500,77835
0.000000,0.015000,0.005000,0.062500,0.082500,78028
0.007500,0.012500,0.000000,0.062500,0.082500,78220
0.000000,0.000000,0.005000,0.062500,0.067500,78371
0.005000,0.015000,0.000000,0.062500,0.082500,78572
0.005000,0.015000,0.000000,0.062500,0.082500,78691
0.005000,0.010000,0.005000,0.062500,0.082500,78852
0.000000,0.017500,0.000000,0.062500,0.080000,79079
0.000000,0.020000,0.000000,0.062500,0.082500,79347
0.000000,0.010000,0.005000,0.062500,0.077500,79565
0.005000,0.010000,0.005000,0.062500,0.082500,79905
0.005000,0.010000,0.005000,0.062500,0.082500,88555
0.000000,0.000000,0.017500,0.048499,0.066000,84069
0.007500,0.000000,0.016500,0.048499,0.072500,84315
0.000000,0.001000,0.015000,0.048499,0.064500,84652
0.000000,0.000000,0.000000,0.060000,0.060000,05045
0.000000,0.010000,0.000000,0.060000,0.070000,05439
0.000000,0.010000,0.000000,0.060000,0.070000,05733
0.007000,0.010000,0.000000,0.043000,0.060000,20108
0.007000,0.000000,0.010000,0.043000,0.060000,22060
0.007000,0.010000,0.000000,0.043000,0.060000,22332
0.000000,0.000000,0.010000,0.043000,0.053000,22630
0.000000,0.000000,0.010000,0.043000,0.053000,22920
0.010000,0.000000,0.010000,0.043000,0.063000,23107
0.007000,0.010000,0.000000,0.043000,0.060000,23292
0.007000,0.010000,0.000000,0.043000,0.060000,23479
0.000000,0.000000,0.010000,0.043000,0.053000,23856
0.000000,0.010000,0.000000,0.043000,0.053000,24035
0.000000,0.010000,0.000000,0.043000,0.053000,24203
0.000000,0.000000,0.010000,0.043000,0.053000,24432
0.000000,0.000000,0.010000,0.043000,0.053000,24599
0.000000,0.040999,0.000000,0.065000,0.106000,98082
0.000000,0.000000,0.018000,0.065000,0.083000,98243
0.000000,0.000000,0.027000,0.065000,0.092000,98367
0.000000,0.000000,0.013000,0.065000,0.078000,98533
0.000000,0.020000,0.000000,0.065000,0.085000,98663
0.000000,0.000000,0.016000,0.065000,0.081000,99003
0.000000,0.025000,0.000000,0.065000,0.090000,99202
0.000000,0.000000,0.000000,0.060000,0.060000,24830
0.000000,0.000000,0.000000,0.060000,0.060000,25036
0.000000,0.000000,0.000000,0.060000,0.060000,25241
0.000000,0.000000,0.000000,0.060000,0.060000,25444
0.000000,0.010000,0.000000,0.060000,0.070000,25709
0.000000,0.000000,0.000000,0.060000,0.060000,25932
0.000000,0.000000,0.000000,0.060000,0.060000,26230
0.000000,0.000000,0.000000,0.060000,0.060000,26801
0.000000,0.000000,0.005000,0.050000,0.055000,53092
0.000000,0.000000,0.005000,0.050000,0.055000,53227
0.000000,0.000000,0.005000,0.050000,0.055000,53586
0.000000,0.000000,0.005000,0.050000,0.055000,53948
0.000000,0.000000,0.005000,0.050000,0.055000,54465
0.000000,0.000000,0.005000,0.050000,0.055000,54632
0.000000,0.000000,0.005000,0.050000,0.055000,54819
0.000000,0.000000,0.005000,0.050000,0.055000,54963
0.000000,0.000000,0.010000,0.040000,0.050000,82434
0.000000,0.000000,0.010000,0.040000,0.050000,83111
